Designator,Mid X,Mid Y,Rotation,Layer
C1,164.2,-131.05,90.0,top
C10,135.25,-73.5,180.0,top
C11,136.5,-104.75,0.0,top
C12,151.75,-104.5,180.0,top
C13,141.7,-114.0,0.0,top
C2,166.7,-131.05,90.0,top
C3,158.25,-128.8,90.0,top
C4,150.7,-134.4,0.0,top
C5,135.48,-77.23,180.0,top
C6,150.7,-132.0,0.0,top
C7,155.0,-136.525,90.0,top
C8,145.45,-133.5,90.0,top
C9,139.4,-136.9,180.0,top
D1,155.5,-131.05,270.0,top
D2,162.25,-72.75,180.0,top
IC11,128.738,-99.5,180.0,top
IC12,128.75,-106.5,180.0,top
IC13,128.738,-113.5,180.0,top
IC17,128.738,-121.499999,180.0,top
IC18,128.75,-128.499999,180.0,top
IC19,128.738,-135.499999,180.0,top
IC23,164.762,-113.500001,0.0,top
IC24,164.75,-106.500001,0.0,top
IC25,164.762,-99.500001,0.0,top
IC29,164.762,-91.500001,0.0,top
IC30,164.75,-84.500001,0.0,top
IC31,164.762,-77.500001,0.0,top
IC5,128.738,-77.75,180.0,top
IC6,128.75,-84.75,180.0,top
IC7,128.738,-91.75,180.0,top
J1,175.445,-128.5,90.0,top
J2,146.75,-109.265,180.0,top
J3,118.055,-84.75,270.0,top
J4,118.055,-106.5,270.0,top
J5,118.055,-128.5,270.0,top
J6,175.445,-106.5,90.0,top
J7,175.445,-84.5,90.0,top
L1,150.5,-128.6,180.0,top
PS1,159.5,-132.55,0.0,top
R1,158.75,-72.75,0.0,top
R2,135.48,-75.5,0.0,top
R4,162.5,-136.525,270.0,top
R5,160.8,-136.525,90.0,top
R6,153.75,-92.5,0.0,top
R7,156.6,-136.525,90.0,top
R8,158.2,-136.525,270.0,top
SW2,156.0,-114.4,270.0,top
U1,140.45,-131.35,270.0,top
U2,138.25,-99.0,90.0,top
U3,155.0,-98.5,90.0,top
U4,138.225,-119.73,270.0,top
U5,147.0,-81.0,0.0,top
